parola,amore,aspettativa,attivazione,disgusto,dominanza,fiducia,gioia,neutrale,paura,rabbia,sorpresa,tristezza,valenza
ingrassare,0.0,0.17,7.0,0.75,2.67,0.0,0.0,0.0,0.96,0.79,0.21,0.83,2.0
ingrato,0.14,0.29,5.5,0.29,5.0,0.25,0.04,0.0,0.08,0.58,0.04,0.54,3.33
ingrediente,0.25,0.33,3.83,0.21,5.67,0.21,0.29,0.0,0.0,0.0,0.17,0.0,5.67
ingresso,0.08,0.21,5.5,0.0,4.33,0.08,0.08,0.0,0.33,0.04,0.08,0.08,4.5
inibizione,0.06,0.29,3.17,0.17,3.67,0.12,0.0,0.0,0.42,0.25,0.12,0.54,3.5
inimitabile,0.41,0.71,4.83,0.12,5.83,0.25,0.58,0.0,0.04,0.04,0.42,0.0,7.0
inimmaginabile,0.56,0.83,7.17,0.42,5.33,0.38,0.75,0.0,0.75,0.83,0.96,0.83,7.0
ininterrotto,0.23,0.38,5.0,0.08,4.5,0.17,0.29,0.0,0.42,0.25,0.17,0.29,4.83
iniziale,0.25,0.75,6.0,0.0,5.33,0.29,0.21,0.0,0.17,0.17,0.29,0.17,5.83
inizialmente,0.25,0.29,4.83,0.04,5.33,0.25,0.25,0.0,0.25,0.04,0.29,0.17,5.17
iniziare,0.85,1.0,7.33,0.04,6.83,0.79,0.92,0.0,0.42,0.04,0.33,0.21,6.67
iniziativa,0.67,0.71,6.67,0.17,6.67,0.67,0.67,0.0,0.21,0.17,0.67,0.17,7.0
iniziato,0.58,0.96,8.17,0.04,6.0,0.58,0.58,0.0,0.33,0.04,0.33,0.17,6.67
inizio,0.81,0.88,6.67,0.12,5.0,0.92,0.71,0.0,0.58,0.12,0.54,0.25,7.67
innamoramento,0.9,0.92,5.67,0.17,6.33,0.83,0.96,0.0,0.46,0.21,0.62,0.29,6.67
innamorarsi,0.85,0.83,6.67,0.0,5.33,0.79,0.92,0.0,0.29,0.17,0.83,0.04,7.83
innamorato,0.81,0.92,7.83,0.0,5.5,0.67,0.96,0.0,0.21,0.04,0.67,0.21,8.0
innanzitutto,0.02,0.17,4.5,0.0,4.83,0.04,0.0,0.0,0.0,0.0,0.12,0.0,5.0
innervosire,0.02,0.33,6.33,0.29,2.83,0.04,0.0,0.0,0.33,0.83,0.21,0.46,2.33
innervosisrsi,0.0,0.29,7.83,0.29,3.5,0.0,0.0,0.0,0.58,0.96,0.21,0.21,2.17
innescare,0.5,0.25,6.83,0.21,4.83,0.33,0.67,0.0,0.33,0.42,0.46,0.29,5.17
innocente,0.38,0.54,6.5,0.0,5.33,0.42,0.33,0.0,0.25,0.29,0.21,0.17,7.33
innocenza,0.69,0.67,4.33,0.0,6.33,0.58,0.79,0.0,0.33,0.0,0.58,0.12,7.67
innocuo,0.46,0.25,5.0,0.0,5.17,0.46,0.46,0.0,0.21,0.0,0.04,0.08,6.67
innovativo,0.4,0.62,6.33,0.0,6.0,0.46,0.33,0.0,0.25,0.0,0.54,0.0,6.83
innovazione,0.81,0.92,3.5,0.04,6.67,0.83,0.79,0.0,0.21,0.0,0.71,0.04,8.17
innumerevole,0.32,0.42,6.17,0.25,4.5,0.17,0.46,0.0,0.46,0.25,0.54,0.21,4.67
inoculazione,0.21,0.5,7.0,0.25,4.17,0.42,0.0,0.0,0.79,0.17,0.21,0.17,4.67
inoltre,0.0,0.21,6.17,0.04,5.17,0.0,0.0,0.0,0.0,0.12,0.17,0.0,5.5
inondato,0.04,0.25,6.17,0.04,3.67,0.04,0.04,0.0,0.83,0.58,0.42,0.71,3.0
inopportunità,0.04,0.42,6.5,0.58,3.33,0.08,0.0,0.0,0.67,0.92,0.42,0.75,3.0
inorridire,0.02,0.25,6.83,1.0,3.67,0.04,0.0,0.0,0.58,0.79,0.54,0.38,4.33
inorridito,0.0,0.0,6.0,0.96,3.83,0.0,0.0,0.0,0.83,0.54,0.33,0.25,3.33
inquadrare,0.31,0.54,4.5,0.08,5.17,0.33,0.29,0.0,0.17,0.21,0.17,0.17,5.33
inqualificabile,0.08,0.25,3.67,0.42,4.83,0.04,0.12,0.0,0.17,0.42,0.17,0.58,4.0
inquietante,0.06,0.33,7.33,0.83,2.5,0.08,0.04,0.0,1.0,0.42,0.58,0.42,2.33
inquinamento,0.09,0.12,6.67,0.96,4.0,0.0,0.17,0.0,0.79,1.0,0.42,0.96,2.67
inquisitorio,0.04,0.25,5.33,0.17,4.0,0.04,0.04,0.0,0.33,0.38,0.21,0.29,3.67
insalata,0.12,0.04,3.83,0.12,5.33,0.08,0.17,0.0,0.0,0.04,0.04,0.08,5.83
insanguinare,0.0,0.0,6.67,0.79,2.83,0.0,0.0,0.0,0.96,0.75,0.17,0.75,2.17
insanguinato,0.0,0.0,6.67,0.67,3.0,0.0,0.0,0.0,0.62,0.25,0.21,0.71,3.5
insediare,0.11,0.29,4.67,0.04,6.0,0.17,0.04,0.0,0.21,0.29,0.21,0.08,5.17
insegna,0.08,0.04,4.5,0.0,5.0,0.12,0.04,0.0,0.0,0.0,0.04,0.0,5.0
insegnamento,0.58,0.71,5.17,0.0,5.83,0.71,0.46,0.0,0.04,0.0,0.25,0.0,6.0
insegnante,0.54,0.54,5.67,0.04,5.67,0.5,0.58,0.0,0.12,0.12,0.29,0.04,6.17
insegnare,0.72,0.83,6.67,0.0,7.17,0.83,0.62,0.0,0.0,0.04,0.54,0.04,6.67
insegnato,0.1,0.08,4.33,0.12,5.67,0.08,0.12,0.0,0.0,0.0,0.0,0.0,5.5
inseguire,0.17,0.21,4.67,0.08,4.67,0.17,0.17,0.0,0.42,0.21,0.08,0.38,4.33
insensibile,0.0,0.0,4.83,0.29,4.5,0.0,0.0,0.0,0.17,0.25,0.0,0.25,3.17
inserimento,0.5,0.83,6.0,0.0,5.17,0.54,0.46,0.0,0.29,0.0,0.25,0.17,6.33
inserire,0.12,0.25,4.33,0.04,4.83,0.12,0.12,0.0,0.12,0.04,0.17,0.04,5.33
insetto,0.14,0.04,7.0,0.79,3.17,0.0,0.29,0.0,0.62,0.04,0.33,0.12,3.17
insicurezza,0.1,0.42,4.33,0.08,3.0,0.21,0.0,0.0,0.83,0.08,0.17,0.33,4.0
insicuro,0.09,0.25,4.5,0.17,2.17,0.17,0.0,0.0,0.79,0.42,0.08,0.71,2.0
insidia,0.21,0.17,4.83,0.04,4.67,0.25,0.17,0.0,0.71,0.29,0.25,0.08,4.5
insieme,0.71,0.67,6.0,0.04,6.17,0.71,0.71,0.0,0.08,0.04,0.58,0.21,7.33
insinuare,0.04,0.08,6.5,0.42,5.33,0.08,0.0,0.0,0.42,0.42,0.08,0.25,2.67
insistere,0.12,0.71,7.0,0.17,4.33,0.17,0.08,0.0,0.25,0.75,0.17,0.0,3.67
insoddisfatto,0.02,0.58,5.67,0.42,2.83,0.04,0.0,0.0,0.25,0.83,0.17,0.83,2.33
insofferenza,0.02,0.04,4.5,0.42,3.67,0.04,0.0,0.0,0.42,0.79,0.04,0.58,2.67
insolito,0.06,0.71,5.5,0.17,5.0,0.04,0.08,0.0,0.38,0.0,0.83,0.04,5.67
insomma,0.04,0.67,4.67,0.0,5.0,0.08,0.0,0.0,0.42,0.21,0.42,0.25,4.33
insopportabile,0.0,0.04,6.17,0.62,4.67,0.0,0.0,0.0,0.04,0.67,0.0,0.04,2.33
insostenibile,0.0,0.12,6.83,0.58,4.5,0.0,0.0,0.0,0.42,0.75,0.04,0.58,2.83
installare,0.1,0.25,4.0,0.0,5.5,0.12,0.08,0.0,0.0,0.04,0.04,0.0,5.67
instante,0.27,0.46,5.67,0.08,5.17,0.12,0.42,0.0,0.29,0.25,0.67,0.42,5.0
insubordinazione,0.09,0.21,7.0,0.42,5.17,0.17,0.0,0.0,0.33,0.75,0.21,0.54,2.33
insultare,0.0,0.04,6.67,0.58,5.5,0.0,0.0,0.0,0.17,0.58,0.04,0.46,2.17
insulto,0.0,0.04,7.0,0.71,5.33,0.0,0.0,0.0,0.54,0.83,0.42,0.79,1.0
intaccare,0.0,0.12,7.17,0.46,3.17,0.0,0.0,0.0,0.62,0.58,0.25,0.42,3.0
intanto,0.04,0.04,4.67,0.0,4.83,0.04,0.04,0.0,0.0,0.0,0.0,0.0,4.67
intatto,0.11,0.04,4.33,0.04,5.33,0.04,0.17,0.0,0.04,0.0,0.0,0.0,5.5
integrale,0.33,0.21,4.83,0.08,5.17,0.25,0.42,0.0,0.17,0.04,0.21,0.0,6.0
integrare,0.04,0.5,5.33,0.04,5.33,0.04,0.04,0.0,0.17,0.04,0.42,0.17,5.17
integrazione,0.56,0.67,4.83,0.04,4.5,0.29,0.83,0.0,0.29,0.21,0.21,0.17,7.17
intellettuale,0.42,0.33,4.17,0.0,6.0,0.38,0.46,0.0,0.0,0.0,0.04,0.0,6.67
intelligente,0.58,0.79,5.5,0.0,6.5,0.58,0.58,0.0,0.0,0.04,0.29,0.12,7.67
intelligenza,0.81,0.79,6.0,0.0,6.33,0.92,0.71,0.0,0.12,0.12,0.62,0.17,7.17
intendere,0.23,0.29,3.83,0.0,5.5,0.29,0.17,0.0,0.0,0.0,0.12,0.0,5.17
intenerire,0.52,0.29,5.67,0.0,4.67,0.33,0.71,0.0,0.0,0.0,0.29,0.12,6.83
intensità,0.35,0.33,5.67,0.17,5.33,0.25,0.46,0.0,0.25,0.38,0.33,0.29,5.5
intenso,0.54,0.46,6.0,0.58,5.83,0.33,0.75,0.0,0.58,0.71,0.38,0.42,5.5
intento,0.27,0.71,5.83,0.08,4.83,0.33,0.21,0.0,0.17,0.08,0.62,0.04,5.17
intenzione,0.29,0.33,6.5,0.0,5.83,0.42,0.17,0.0,0.04,0.04,0.42,0.0,5.83
intera,0.38,0.38,4.67,0.04,5.33,0.33,0.42,0.0,0.04,0.04,0.17,0.04,5.33
interagire,0.56,0.58,5.33,0.12,5.0,0.54,0.58,0.0,0.42,0.29,0.29,0.17,5.17
interamente,0.21,0.33,4.83,0.0,5.67,0.08,0.33,0.0,0.0,0.0,0.12,0.0,5.67
interazione,0.5,0.42,7.0,0.38,6.17,0.42,0.58,0.0,0.46,0.38,0.58,0.38,6.83
intercettare,0.17,0.42,5.0,0.04,5.17,0.17,0.17,0.0,0.33,0.17,0.29,0.17,5.33
intercettazione,0.17,0.38,5.17,0.17,5.17,0.17,0.17,0.0,0.17,0.29,0.33,0.33,4.33
interessante,0.4,0.71,7.0,0.04,7.0,0.12,0.67,0.0,0.04,0.0,0.58,0.04,7.83
interessare,0.34,0.71,5.0,0.0,6.5,0.21,0.46,0.0,0.0,0.04,0.46,0.0,7.33
interessato,0.44,0.58,5.0,0.0,6.67,0.54,0.33,0.0,0.08,0.0,0.29,0.0,6.83
interesse,0.62,0.75,6.33,0.08,6.33,0.54,0.71,0.0,0.04,0.08,0.54,0.08,6.67
interim,0.11,0.29,4.83,0.12,5.33,0.17,0.04,0.0,0.04,0.04,0.17,0.12,5.0
interiore,0.27,0.21,5.33,0.0,7.17,0.29,0.25,0.0,0.04,0.08,0.04,0.25,5.83
interiorizzare,0.21,0.29,5.17,0.29,3.83,0.25,0.17,0.0,0.83,0.54,0.08,0.79,3.17
interiorizzazione,0.38,0.54,3.5,0.04,5.33,0.54,0.21,0.0,0.58,0.58,0.17,0.62,5.0
interlocutore,0.44,0.75,6.17,0.17,5.0,0.46,0.42,0.0,0.38,0.17,0.54,0.08,5.17
interloquire,0.58,0.58,5.83,0.04,5.5,0.58,0.58,0.0,0.42,0.25,0.46,0.25,7.67
intermediario,0.29,0.29,4.67,0.0,4.67,0.58,0.0,0.0,0.25,0.17,0.04,0.12,5.67
interna,0.41,0.5,5.0,0.21,5.33,0.25,0.58,0.0,0.29,0.58,0.29,0.62,4.67
internauta,0.35,0.29,4.0,0.0,5.67,0.21,0.5,0.0,0.04,0.0,0.29,0.12,5.67
internazionale,0.48,0.62,5.17,0.0,5.33,0.54,0.42,0.0,0.04,0.0,0.17,0.0,5.67
internet,0.23,0.38,6.0,0.17,4.5,0.17,0.29,0.0,0.25,0.25,0.25,0.21,5.17
interno,0.04,0.04,4.0,0.04,5.0,0.04,0.04,0.0,0.04,0.04,0.12,0.17,5.33
intero,0.27,0.17,3.67,0.0,5.67,0.29,0.25,0.0,0.0,0.0,0.04,0.0,6.17
interpretare,0.12,0.21,4.83,0.0,5.83,0.17,0.08,0.0,0.04,0.0,0.0,0.0,5.33
interpretazione,0.4,0.75,6.0,0.04,6.17,0.46,0.33,0.0,0.08,0.12,0.54,0.08,5.67
interprete,0.69,0.46,7.17,0.0,6.17,0.67,0.71,0.0,0.29,0.04,0.29,0.04,6.67
interrogare,0.17,0.33,6.0,0.08,5.67,0.17,0.17,0.0,0.71,0.46,0.46,0.21,4.33
interrogativo,0.21,0.38,5.0,0.0,5.5,0.25,0.17,0.0,0.08,0.04,0.33,0.0,5.17
interrogatorio,0.0,0.58,6.33,0.08,3.33,0.0,0.0,0.0,0.83,0.33,0.29,0.17,2.83
interrompere,0.08,0.04,5.83,0.21,4.17,0.12,0.04,0.0,0.08,0.42,0.25,0.29,3.67
interruzione,0.0,0.04,6.33,0.33,2.33,0.0,0.0,0.0,0.08,0.79,0.25,0.17,2.5
intersecare,0.29,0.21,3.33,0.25,5.33,0.29,0.29,0.0,0.12,0.17,0.17,0.17,4.5
intervallo,0.36,0.46,6.0,0.0,5.17,0.17,0.54,0.0,0.17,0.0,0.25,0.0,6.0
intervenire,0.17,0.25,5.83,0.04,6.83,0.17,0.17,0.0,0.25,0.29,0.25,0.12,5.67
intervento,0.16,0.29,5.67,0.12,4.17,0.29,0.04,0.0,0.58,0.0,0.25,0.08,4.5
intervista,0.06,0.67,4.67,0.0,5.33,0.04,0.08,0.0,0.04,0.12,0.21,0.04,5.67
intesa,0.5,0.42,5.33,0.0,5.67,0.58,0.42,0.0,0.0,0.0,0.17,0.0,6.0
intestare,0.27,0.33,4.33,0.04,5.5,0.42,0.12,0.0,0.08,0.12,0.33,0.17,5.67
intestino,0.04,0.25,6.0,0.17,4.0,0.08,0.0,0.0,0.29,0.25,0.04,0.21,4.5
intimidazione,0.06,0.17,6.5,0.25,3.83,0.12,0.0,0.0,0.83,0.46,0.25,0.42,2.17
intimidire,0.06,0.04,6.17,0.33,5.0,0.12,0.0,0.0,0.83,0.58,0.17,0.54,2.5
intimidito,0.0,0.0,5.17,0.08,2.33,0.0,0.0,0.0,0.71,0.17,0.08,0.08,2.83
intimità,0.81,0.83,3.5,0.0,6.33,0.83,0.79,0.0,0.04,0.0,0.58,0.04,8.33
intimo,0.6,0.54,6.0,0.04,5.0,0.42,0.79,0.0,0.04,0.04,0.42,0.08,6.83
intitolare,0.12,0.29,5.17,0.0,4.5,0.21,0.04,0.0,0.17,0.0,0.04,0.12,4.83
intollerabile,0.02,0.21,7.5,0.58,4.0,0.04,0.0,0.0,0.67,0.96,0.29,0.75,2.67
intonazione,0.31,0.29,5.67,0.04,5.5,0.29,0.33,0.0,0.17,0.08,0.17,0.21,5.33
intorno,0.04,0.17,5.33,0.0,5.0,0.04,0.04,0.0,0.04,0.0,0.12,0.0,5.33
intransigenza,0.02,0.0,5.0,0.38,3.5,0.04,0.0,0.0,0.58,0.54,0.08,0.54,2.67
intraprendere,0.25,0.79,6.67,0.0,5.83,0.08,0.42,0.0,0.29,0.04,0.54,0.08,5.83
intravedere,0.32,0.71,5.67,0.12,5.17,0.42,0.21,0.0,0.25,0.08,0.33,0.08,5.17
intrecciare,0.48,0.46,4.33,0.08,6.0,0.42,0.54,0.0,0.21,0.08,0.29,0.21,6.33
intrepido,0.42,0.42,6.0,0.0,5.83,0.42,0.42,0.0,0.29,0.21,0.42,0.0,5.83
intristire,0.02,0.12,5.33,0.04,5.0,0.04,0.0,0.0,0.04,0.04,0.0,0.83,3.67
intristito,0.0,0.04,5.33,0.04,4.33,0.0,0.0,0.0,0.21,0.17,0.0,0.79,2.17
introdurre,0.46,0.71,5.5,0.0,5.67,0.42,0.5,0.0,0.21,0.0,0.62,0.0,6.17
introduzione,0.23,0.46,5.67,0.0,5.33,0.29,0.17,0.0,0.25,0.0,0.33,0.12,5.83
intrusione,0.08,0.08,7.0,0.46,4.17,0.08,0.08,0.0,0.71,0.96,0.33,0.38,3.67
intuire,0.35,0.33,6.0,0.04,5.17,0.29,0.42,0.0,0.17,0.17,0.38,0.08,5.83
intuitivamente,0.41,0.71,4.83,0.0,6.67,0.58,0.25,0.0,0.12,0.0,0.67,0.0,5.83
intuizione,0.35,0.54,4.33,0.04,5.17,0.29,0.42,0.0,0.0,0.04,0.33,0.12,6.0
inutile,0.02,0.12,5.0,0.17,4.5,0.04,0.0,0.0,0.17,0.71,0.04,0.54,3.83
invadere,0.04,0.25,7.5,0.71,3.67,0.08,0.0,0.0,0.92,0.83,0.54,0.83,2.0
invasione,0.04,0.17,6.5,0.46,3.33,0.08,0.0,0.0,0.58,0.71,0.21,0.62,3.0
invecchiare,0.02,0.17,5.83,0.21,3.83,0.0,0.04,0.0,0.83,0.46,0.04,0.83,3.0
invece,0.02,0.33,5.33,0.04,5.0,0.04,0.0,0.0,0.0,0.12,0.29,0.04,5.0
inveire,0.04,0.08,6.33,0.42,4.33,0.08,0.0,0.0,0.79,0.96,0.38,0.33,2.67
inventare,0.77,0.83,7.67,0.0,6.83,0.71,0.83,0.0,0.04,0.0,0.67,0.0,7.67
inventivo,0.42,0.42,5.0,0.0,6.17,0.42,0.42,0.0,0.08,0.04,0.21,0.08,6.67
invenzione,0.6,0.83,6.17,0.0,5.83,0.67,0.54,0.0,0.12,0.12,0.67,0.0,7.33
invernale,0.1,0.21,3.83,0.0,5.0,0.0,0.21,0.0,0.0,0.0,0.0,0.33,4.83
inverno,0.33,0.58,6.0,0.17,5.33,0.33,0.33,0.0,0.17,0.17,0.29,0.42,5.0
inverosimile,0.1,0.21,5.0,0.5,3.83,0.21,0.0,0.0,0.42,0.58,0.83,0.21,3.67
investigativo,0.12,0.54,6.0,0.17,5.5,0.17,0.08,0.0,0.29,0.17,0.33,0.04,4.83
investimento,0.27,0.67,6.83,0.0,4.67,0.42,0.12,0.0,0.67,0.12,0.33,0.12,5.0
investire,0.32,0.54,7.67,0.08,3.83,0.42,0.21,0.0,0.38,0.12,0.21,0.04,5.17
investitore,0.15,0.38,5.5,0.0,5.0,0.17,0.12,0.0,0.17,0.0,0.21,0.0,5.83
invettiva,0.06,0.29,6.33,0.46,6.0,0.0,0.12,0.0,0.58,0.83,0.29,0.38,3.83
inviare,0.42,0.62,5.0,0.04,4.67,0.67,0.17,0.0,0.17,0.04,0.25,0.12,5.33
inviato,0.11,0.54,5.17,0.0,5.67,0.17,0.04,0.0,0.08,0.0,0.17,0.0,5.17
invidia,0.02,0.29,5.67,0.58,4.33,0.04,0.0,0.0,0.38,0.71,0.17,0.46,2.5
invidiare,0.12,0.04,4.0,0.29,4.0,0.04,0.21,0.0,0.33,0.58,0.17,0.54,3.0
invidioso,0.04,0.17,6.67,0.42,4.67,0.04,0.04,0.0,0.42,0.58,0.04,0.71,2.17
inviperito,0.0,0.08,6.0,0.21,5.17,0.0,0.0,0.0,0.21,0.92,0.08,0.08,4.33
invisibile,0.02,0.08,4.5,0.17,4.67,0.0,0.04,0.0,0.42,0.21,0.5,0.33,4.17
invitare,0.54,0.71,5.67,0.0,5.67,0.54,0.54,0.0,0.17,0.0,0.33,0.0,6.33
invitato,0.73,0.75,4.33,0.04,6.33,0.67,0.79,0.0,0.04,0.04,0.58,0.04,7.17
invito,0.5,0.33,5.83,0.0,5.0,0.42,0.58,0.0,0.25,0.0,0.42,0.04,7.5
invocare,0.58,0.71,5.33,0.46,5.33,0.58,0.58,0.0,0.67,0.71,0.33,0.58,5.83
invocato,0.14,0.21,5.83,0.0,4.5,0.21,0.08,0.0,0.04,0.0,0.42,0.17,4.17
involontariamente,0.08,0.0,5.83,0.21,2.67,0.04,0.12,0.0,0.25,0.29,0.42,0.33,3.5
ipocrisia,0.02,0.04,5.83,0.58,4.0,0.04,0.0,0.0,0.21,0.67,0.04,0.67,3.83
ipotesi,0.39,0.46,5.83,0.0,5.33,0.58,0.21,0.0,0.08,0.0,0.29,0.04,5.83
ipotizzare,0.16,0.58,3.5,0.0,5.5,0.21,0.12,0.0,0.08,0.12,0.29,0.12,5.33
ira,0.09,0.17,7.83,0.42,5.0,0.17,0.0,0.0,0.42,1.0,0.25,0.54,2.83
iracondo,0.0,0.0,6.67,0.29,4.67,0.0,0.0,0.0,0.29,0.88,0.12,0.17,2.0
iraq,0.19,0.21,6.0,0.58,5.0,0.21,0.17,0.0,0.42,0.67,0.21,0.33,4.83
irascibile,0.0,0.04,8.33,0.17,3.67,0.0,0.0,0.0,0.38,1.0,0.04,0.17,1.67
irascibilità,0.0,0.04,7.0,0.21,4.0,0.0,0.0,0.0,0.33,0.96,0.08,0.29,2.33
iride,0.11,0.04,4.67,0.0,5.5,0.04,0.17,0.0,0.04,0.0,0.04,0.04,5.5
ironia,0.23,0.21,5.17,0.17,5.5,0.17,0.29,0.0,0.08,0.25,0.38,0.17,5.83
ironico,0.29,0.0,5.0,0.0,6.17,0.0,0.58,0.0,0.0,0.0,0.17,0.0,5.5
irradiare,0.27,0.17,5.0,0.33,4.17,0.08,0.46,0.0,0.21,0.33,0.29,0.33,4.5
irrealistico,0.02,0.29,4.83,0.04,5.0,0.04,0.0,0.0,0.04,0.17,0.29,0.21,4.5
irrecuperabile,0.02,0.17,6.33,0.33,4.17,0.0,0.04,0.0,0.71,0.83,0.04,0.83,3.0
irregolare,0.06,0.25,5.17,0.54,4.67,0.08,0.04,0.0,0.58,0.62,0.29,0.29,3.17
irremovibile,0.06,0.54,6.0,0.17,4.17,0.08,0.04,0.0,0.38,0.58,0.12,0.21,4.33
irrigidire,0.11,0.04,6.0,0.58,4.33,0.17,0.04,0.0,0.96,0.96,0.58,0.75,2.67
irritabile,0.0,0.08,6.33,0.17,5.0,0.0,0.0,0.0,0.38,0.83,0.08,0.54,3.0
irritabilità,0.0,0.0,6.67,0.42,4.67,0.0,0.0,0.0,0.21,0.83,0.04,0.29,2.5
irritante,0.08,0.25,7.17,0.67,4.0,0.04,0.12,0.0,0.12,0.96,0.21,0.25,2.0
irritare,0.04,0.12,6.17,0.42,3.67,0.08,0.0,0.0,0.17,0.62,0.04,0.29,3.17
irritato,0.0,0.0,7.0,0.33,5.83,0.0,0.0,0.0,0.17,0.96,0.21,0.17,2.33
irritazione,0.08,0.17,5.67,0.25,4.83,0.08,0.08,0.0,0.17,0.75,0.04,0.17,4.17
ischemia,0.1,0.12,7.0,0.29,3.33,0.08,0.12,0.0,0.79,0.71,0.21,0.71,3.5
iscritto,0.34,0.29,5.5,0.0,5.67,0.17,0.5,0.0,0.17,0.0,0.0,0.04,6.17
iscrivere,0.58,0.58,6.0,0.08,5.67,0.58,0.58,0.0,0.46,0.08,0.42,0.17,5.83
iscrizione,0.4,0.67,6.17,0.0,5.67,0.5,0.29,0.0,0.04,0.0,0.25,0.0,5.83
islamico,0.04,0.04,5.5,0.33,6.33,0.04,0.04,0.0,0.42,0.42,0.0,0.33,3.17
isola,0.27,0.38,4.5,0.0,5.0,0.12,0.42,0.0,0.17,0.04,0.29,0.17,5.5
isolamento,0.1,0.33,7.0,0.58,2.5,0.21,0.0,0.0,0.83,0.58,0.17,0.96,1.67
isolare,0.02,0.04,6.33,0.29,3.5,0.04,0.0,0.0,0.75,0.29,0.12,0.62,2.83
isolarsi,0.06,0.08,5.67,0.25,3.83,0.08,0.04,0.0,0.17,0.25,0.04,0.58,3.0
isolato,0.02,0.12,3.5,0.17,3.0,0.04,0.0,0.0,0.71,0.62,0.0,0.96,1.83
ispettore,0.0,0.21,5.83,0.0,4.17,0.0,0.0,0.0,0.21,0.0,0.17,0.04,4.67
ispirare,0.75,0.42,4.33,0.12,5.83,0.71,0.79,0.0,0.12,0.12,0.04,0.12,6.83
ispirazione,0.85,0.92,6.33,0.04,5.0,0.79,0.92,0.0,0.08,0.04,0.79,0.17,7.83
istante,0.33,0.25,5.5,0.04,4.83,0.33,0.33,0.0,0.04,0.04,0.58,0.04,5.17
istanza,0.02,0.08,4.83,0.04,5.17,0.04,0.0,0.0,0.04,0.04,0.08,0.12,4.83
isteria,0.0,0.0,6.67,0.33,3.5,0.0,0.0,0.0,0.54,0.67,0.17,0.54,3.0
isterica,0.0,0.0,6.33,0.33,4.33,0.0,0.0,0.0,0.21,0.88,0.0,0.21,2.5
isterico,0.04,0.04,7.17,0.17,5.0,0.04,0.04,0.0,0.29,0.83,0.08,0.17,2.33
istintivo,0.21,0.0,4.83,0.04,5.33,0.33,0.08,0.0,0.29,0.04,0.17,0.0,5.0
istinto,0.56,0.67,7.83,0.04,8.0,0.71,0.42,0.0,0.79,0.21,0.42,0.04,6.33
istituto,0.04,0.17,3.5,0.0,4.33,0.08,0.0,0.0,0.0,0.0,0.0,0.04,4.33
istituzionale,0.04,0.25,4.67,0.29,4.33,0.04,0.04,0.0,0.17,0.25,0.0,0.17,3.33
istituzione,0.14,0.42,6.33,0.33,3.33,0.29,0.0,0.0,0.54,0.42,0.08,0.21,3.17
istruzione,0.57,0.92,4.67,0.04,5.67,0.46,0.67,0.0,0.08,0.04,0.04,0.08,6.5
italiana,0.44,0.54,3.67,0.21,4.5,0.38,0.5,0.0,0.04,0.21,0.25,0.21,5.17
italiano,0.11,0.08,5.0,0.12,5.5,0.04,0.17,0.0,0.0,0.17,0.04,0.17,5.0
iter,0.08,0.17,4.83,0.04,4.67,0.12,0.04,0.0,0.17,0.04,0.17,0.08,4.17
jeans,0.16,0.29,4.17,0.0,5.0,0.04,0.29,0.0,0.0,0.12,0.0,0.0,5.17
karma,0.52,0.79,4.5,0.0,4.67,0.58,0.46,0.0,0.21,0.17,0.62,0.04,6.17
killer,0.0,0.04,7.67,0.75,2.17,0.0,0.0,0.0,0.88,0.88,0.17,0.71,1.83
labbro,0.14,0.17,4.5,0.0,5.33,0.04,0.25,0.0,0.12,0.0,0.12,0.0,5.17
labile,0.38,0.5,5.5,0.17,4.17,0.58,0.17,0.0,0.54,0.21,0.29,0.33,4.0
laboratorio,0.23,0.33,5.17,0.04,6.0,0.29,0.17,0.0,0.0,0.0,0.25,0.0,6.17
laccio,0.0,0.04,3.33,0.04,4.83,0.0,0.0,0.0,0.04,0.04,0.08,0.12,4.33
lacrima,0.25,0.08,5.83,0.04,4.83,0.04,0.46,0.0,0.58,0.38,0.29,0.96,5.0
ladro,0.0,0.04,7.33,0.58,3.17,0.0,0.0,0.0,0.88,0.96,0.33,0.83,1.5
laggiù,0.33,0.58,4.5,0.17,5.83,0.25,0.42,0.0,0.29,0.17,0.58,0.29,5.0
lago,0.21,0.08,4.67,0.0,4.83,0.0,0.42,0.0,0.17,0.0,0.04,0.17,4.33
lagrima,0.39,0.17,4.83,0.33,4.17,0.21,0.58,0.0,0.75,0.58,0.29,0.83,3.5
laica,0.06,0.08,5.17,0.0,5.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,5.17
laico,0.08,0.04,4.83,0.0,4.83,0.08,0.08,0.0,0.0,0.0,0.0,0.0,5.33
lama,0.02,0.08,7.17,0.17,4.33,0.0,0.04,0.0,0.67,0.62,0.08,0.29,2.67
lamentare,0.0,0.04,5.5,0.29,4.83,0.0,0.0,0.0,0.25,0.42,0.04,0.46,2.17
lamento,0.0,0.08,6.5,0.25,3.83,0.0,0.0,0.0,0.29,0.46,0.0,0.83,3.0
lamentoso,0.02,0.0,4.83,0.33,2.67,0.04,0.0,0.0,0.71,0.71,0.0,0.79,1.83
lampada,0.08,0.08,3.67,0.0,5.0,0.12,0.04,0.0,0.0,0.0,0.0,0.04,5.33
lampadina,0.38,0.21,5.17,0.04,5.17,0.17,0.58,0.0,0.0,0.04,0.21,0.04,5.67
